recipe_id,amount,unit,name,ingredient_id
25829,0.5,cups,shortening,
25829,1,cups,white sugar,
25829,1,cups,brown sugar,
25829,2,,eggs,
25829,2,tablespoons,evaporated milk,
25829,2,teaspoons,vanilla extract,
25829,2,cups,all purpose flour,
25829,1,teaspoons,baking powder,
25829,1,teaspoons,baking soda,
25829,0.5,teaspoons,salt,
25829,1.5,cups,oats,
25829,1.5,cups,semisweet chocolate chips,
25829,1,cups,coconut,
25829,1,cups,pecans,
30115,1,,pre pizza crust,
30115,1.5,cups,mozzarella cheese,
30115,1,jars,pizza sauce,
30115,1,packages,Johnsonville® Three Cheese Italian Style Chicken Sausage,
30115,1,packages,pepperoni,
30115,1.5,cups,mozzarella cheese,
30115,1,jars,pizza sauce,
30115,1,packages,Johnsonville® Three Cheese Italian Style Chicken Sausage,
30115,1,packages,pepperoni,
32582,0.5,cups,milk,
32582,2,tablespoons,coffee flavored liqueur,
32582,2.5,tablespoons,amaretto liqueur,
32582,0.25,cups,chocolate flavored syrup,
32582,1,cups,vanilla ice cream,
32582,1,cups,ice,
36397,1.5,cups,strawberries,
36397,0.5,cups,white sugar,
36397,0.25,cups,white sugar,
36397,0.25,cups,butter,
36397,2,,eggs,
36397,1,teaspoons,vanilla extract,
36397,1.75,cups,all purpose flour,
36397,0.5,teaspoons,baking soda,
36397,0.25,teaspoons,salt,
36397,0.25,teaspoons,nutmeg,
37403,0.25,cups,olive oil,
37403,2,tablespoons,tarragon vinegar,
37403,1,,clove garlic,
37403,0.25,teaspoons,thyme,
37403,0.25,teaspoons,salt,
37403,0.25,teaspoons,pepper,
37403,2,,yellow squash,
37403,1,,zucchini,
37403,1,,green bell pepper,
37403,1,,yellow bell pepper,
37403,1,,red bell pepper,
37403,0.75,pounds,size mushrooms,
38931,2,cups,all purpose flour,
38931,2,teaspoons,baking powder,
38931,1,teaspoons,cinnamon,
38931,0.5,teaspoons,nutmeg,
38931,1,cups,granulated sugar,
38931,0.5,cups,butter or margarine,
38931,2,,eggs,
38931,1,teaspoons,vanilla extract,
38931,0.666666667,cups,NESTLE® CARNATION® Evaporated Lowfat Milk,
38931,3,cups,baking apples,
38931,0.75,cups,pecans,
38931,0,,powdered sugar,
42486,4,halves,boneless chicken breast,
42486,0.5,teaspoons,Cajun seasoning,
42486,1,tablespoons,vegetable oil,
42486,4,slices,Swiss cheese,
42486,0.25,cups,creamy Parmesan dressing,
42486,4,,sandwich rolls,
42486,8,slices,tomato,
42486,8,strips,bacon,
42679,1.5,cups,mozzarella cheese,
42679,1,jars,pizza sauce,
42679,1,packages,Johnsonville® Three Cheese Italian Style Chicken Sausage,
42679,1,packages,pepperoni,
44359,1.5,cups,mozzarella cheese,
44359,1,jars,pizza sauce,
44359,1,packages,Johnsonville® Three Cheese Italian Style Chicken Sausage,
44359,1,packages,pepperoni,
45268,1.5,cups,mozzarella cheese,
45268,1,jars,pizza sauce,
45268,1,packages,Johnsonville® Three Cheese Italian Style Chicken Sausage,
45268,1,packages,pepperoni,
45464,1.5,cups,mozzarella cheese,
45464,1,jars,pizza sauce,
45464,1,packages,Johnsonville® Three Cheese Italian Style Chicken Sausage,
45464,1,packages,pepperoni,
47236,1.5,cups,mozzarella cheese,
47236,1,jars,pizza sauce,
47236,1,packages,Johnsonville® Three Cheese Italian Style Chicken Sausage,
47236,1,packages,pepperoni,
48833,1.5,cups,mozzarella cheese,
48833,1,jars,pizza sauce,
48833,1,packages,Johnsonville® Three Cheese Italian Style Chicken Sausage,
48833,1,packages,pepperoni,
49248,1.5,cups,mozzarella cheese,
49248,1,jars,pizza sauce,
49248,1,packages,Johnsonville® Three Cheese Italian Style Chicken Sausage,
49248,1,packages,pepperoni,
49586,1.5,cups,mozzarella cheese,
49586,1,jars,pizza sauce,
49586,1,packages,Johnsonville® Three Cheese Italian Style Chicken Sausage,
49586,1,packages,pepperoni,
150101,1.5,cups,mozzarella cheese,
150101,1,jars,pizza sauce,
150101,1,packages,Johnsonville® Three Cheese Italian Style Chicken Sausage,
150101,1,packages,pepperoni,
150552,1.5,cups,mozzarella cheese,
150552,1,jars,pizza sauce,
150552,1,packages,Johnsonville® Three Cheese Italian Style Chicken Sausage,
150552,1,packages,pepperoni,
150861,0.5,ounces,Bulleit Bourbon™,
150861,0.5,ounces,apple schnapps,
150861,0.5,ounces,sweet vermouth,
150861,1,pinches,nutmeg,
150976,1.5,cups,mozzarella cheese,
150976,1,jars,pizza sauce,
150976,1,packages,Johnsonville® Three Cheese Italian Style Chicken Sausage,
150976,1,packages,pepperoni,
151127,2,tablespoons,unsalted butter,
151127,3,cups,pecan,
151127,0.25,cups,SPLENDA® Sugar Blend,
151127,1,teaspoons,paprika,
151127,2,teaspoons,pure chili powder,
151127,1,tablespoons,cumin,
151127,0.25,cups,apple cider vinegar,
151127,0,,Salt,
151200,1,packages,Jimmy Dean Regular Roll Sausage,
151200,1,cups,onion,
151200,1,jars,yellow banana peppers,
151200,3,,pickled jalapeno peppers,
151200,16,ounces,cream cheese,
151200,1.5,cups,tomatoes,
151200,0.5,cups,sweet red pepper,
151200,0.333333333,cups,cilantro leaves,
151200,0.5,cups,green onion tops,
151200,0,,chips or crackers,
152344,1.5,cups,mozzarella cheese,
152344,1,jars,pizza sauce,
152344,1,packages,Johnsonville® Three Cheese Italian Style Chicken Sausage,
152344,1,packages,pepperoni,
